CHINCHINÁ; Código Establecimiento; Nombre Establecimiento; Código Sede; Nombre Sede
AGUADAS;117013000306;INSTITUCION EDUCATIVA MARINO GOMEZ ESTRADA;117013000306;INSTITUCION EDUCATIVA MARINO GOMEZ ESTRADA - SEDE PRINCIPAL
AGUADAS;117013000306;INSTITUCION EDUCATIVA MARINO GOMEZ ESTRADA;117013000349;CENTRO EDUCATIVO PRESIDENTE KENNEDY
ARANZAZU;217050000400;INSTITUCION EDUCATIVA ALEGRIAS;217050000337;ESCUELA RURAL LA ESPERANZA
ARANZAZU;217050000400;INSTITUCION EDUCATIVA ALEGRIAS;217050000353;ESCUELA RURAL EL EDÉN
ARANZAZU;217050000400;INSTITUCION EDUCATIVA ALEGRIAS;217050000051;ESCUELA RURAL LA GUAIRA
ARANZAZU;217050000400;INSTITUCION EDUCATIVA ALEGRIAS;217050000418;ESCUELA RURAL CHAMBERY
ARANZAZU;217050000400;INSTITUCION EDUCATIVA ALEGRIAS;217050000159;ESCUELA RURAL SABANALARGA
ARANZAZU;217050000400;INSTITUCION EDUCATIVA ALEGRIAS;217050000027;ESCUELA RURAL EL ROBLAL
ARANZAZU;217050000400;INSTITUCION EDUCATIVA ALEGRIAS;217050000370;ESCUELA RURAL SAN IGNACIO
ARANZAZU;217050000400;INSTITUCION EDUCATIVA ALEGRIAS;217050000213;ESCUELA RURAL MANZANILLO
ARANZAZU;217050000400;INSTITUCION EDUCATIVA ALEGRIAS;217050000167;ESCUELA RURAL LA PRADERA
ARANZAZU;217050000400;INSTITUCION EDUCATIVA ALEGRIAS;217050000132;ESCUELA RURAL CUATRO ESQUINAS
ARANZAZU;217050000400;INSTITUCION EDUCATIVA ALEGRIAS;217050000400;INSTITUCION EDUCATIVA ALEGRIAS - SEDE PRINCIPAL
CHINCHINÁ;117174000349;INSTITUCION EDUCATIVA SANTA TERESITA;117174000349;INSTITUCIÓN EDUCATIVA SANTA TERESITA - SEDE PRINCIPAL
CHINCHINÁ;117174000349;INSTITUCION EDUCATIVA SANTA TERESITA;117174000047;ESCUELA ANEXA SANTA TERESITA
CHINCHINÁ;117174000314;INSTITUCION EDUCATIVA BARTOLOME MITRE;117174000331;ESCUELA SANTA JUAN DE ARCO
CHINCHINÁ;117174000314;INSTITUCION EDUCATIVA BARTOLOME MITRE;117174000209;ESCUELA JUAN JOSE RONDON
CHINCHINÁ;117174000314;INSTITUCION EDUCATIVA BARTOLOME MITRE;117174000314;INSTITUCION EDUCATIVA BARTOLOME MITRE - SEDE PRINCIPAL
CHINCHINÁ;117174000314;INSTITUCION EDUCATIVA BARTOLOME MITRE;117174000063;CENTRO EDUCATIVO FRANCISCO JOSE DE CALDAS
LA DORADA;217380000376;INSTITUCION EDUCATIVA BUENAVISTA;217380000376;INSTITUCION EDUCATIVA BUENAVISTA - SEDE PRINCIPAL
